City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Acapulco,MX,2021-02-04 12:20:13,16.8634,-99.8901,72.66,83,4,3.4
277,Polazna,RU,2021-02-04 12:21:34,58.2946,56.4055,19.4,86,75,6.71
278,Medea,DZ,2021-02-04 12:21:34,36.2642,2.7539,75.2,50,75,3.44
279,Omaruru,NA,2021-02-04 12:21:35,-21.4333,15.9333,89.29,22,24,3.85
280,Sicuani,PE,2021-02-04 12:21:35,-14.2694,-71.2261,46.76,62,96,3.74
281,Henties Bay,NA,2021-02-04 12:21:35,-22.116,14.2845,71.01,78,100,3.0
282,Esso,RU,2021-02-04 12:21:35,55.9333,158.7,-1.64,85,100,5.41
283,Flinders,AU,2021-02-04 12:21:35,-34.5833,150.8552,73.0,78,97,8.99
284,Broken Hill,AU,2021-02-04 12:21:35,-31.95,141.4333,84.2,21,90,17.27
285,Oranjemund,NA,2021-02-04 12:21:36,-28.55,16.4333,71.35,63,15,20.0
286,Crepy-En-Valois,FR,2021-02-04 12:21:36,49.2336,2.8881,51.01,81,75,9.22
287,Kosovska Mitrovica,XK,2021-02-04 12:21:37,42.8833,20.8667,59.0,51,20,14.97
288,Chengde,CN,2021-02-04 12:21:37,40.9725,117.9361,27.52,70,0,1.81
289,San Jeronimo,PE,2021-02-04 12:21:37,-11.9472,-75.2829,49.39,73,100,0.96
290,Banda Aceh,ID,2021-02-04 12:16:21,5.5577,95.3222,79.97,77,9,15.43
291,Corpus Christi,US,2021-02-04 12:20:08,27.8006,-97.3964,64.99,94,20,11.5
292,Sabang,ID,2021-02-04 12:21:38,5.8933,95.3214,81.32,76,17,21.34
293,Riyadh,SA,2021-02-04 12:18:20,24.6877,46.7219,80.6,13,0,16.11
